,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,,,,,,Assoc,,Addl,Earthquake Location,,,Earthquake Parameters,,,Earthquake Effects,,,,,,,,,,,,"Total Effects (Earthquake and Tsunami, Volcano, etc.)",,,,,,,,,,,
,,,,,,,,EQ,,,,Focal,Mag,MMI Int,Deaths,,Missing,,Injuries,,Damage,,Houses,,Houses,,Deaths,,Missing,,Injuries,,Damage,,Houses,,Houses,
,,,,,,,,Info,,,,Depth,,,,,,,,,,,Destroyed,,Damaged,,,,,,,,,,Destroyed,,Damaged,
Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,,Name,Latitude,Longitude,,,,Num,De,Num,De,Num,De,$Mill,De,Num,De,Num,De,Num,De,Num,De,Num,De,$Mill,De,Num,De,Num,De
1834,1,20,12,,,,,*,"COLOMBIA: PUTUMAYO,PASTO, POPAYAN, SANTA MARTA",1.2,-77,5,7,11,80,2,,,,,,3,,,,,,,,,,,,,,,,
1834,10,15,6,30,,,,*,"HUNGARY: PISHKOL'T, ERENDREYD, DENGELEG",47.6,22.3,32,6.8,8,,,,,,,,3,,,,,,,,,,,,,,,,
1838,1,23,18,36,,,,*,"ROMANIA: CARPATHIAN FOLD,VRANCEA",45.7,26.6,150,6.9,8,,,,,,,,2,,,,,,,,,,,,,,,,
1839,1,11,9,55,,,,*,"MARTINIQUE: FORT-DE-FRANCE, ST PIERRE; CASTRIES",14.4,-61.1,33,7.8,9,390,3,,,,,,3,,,,,,,,,,,,,,,,
1840,1,4,,,,Tsu,,*,INDONESIA: JAVA: PURWOREJO,-8,110.5,150,7,9,,,,,,,,3,,3,,,,,,,,,,3,,3,,
1840,8,27,12,5,,,,*,BALKANS NW: SLOVENIA: LJUBLJANA,46.2,14.7,8,4.9,7,,,,,,,,2,,,,,,,,,,,,,,,,
1841,5,17,21,30,,Tsu,,*,RUSSIA: OFF KAMCHATKA,52,158,30,8.4,11,,,,,,,,2,,,,,,,,,,,,2,,,,
1842,1,2,,,,,,*,AZERBAIJAN: APSCHERON PENINSULA,40.5,50,3,4.3,8,,,,,,,,2,,,,,,,,,,,,,,,,
1843,2,8,14,50,,Tsu,,*,GUADELOUPE: POINTE-A-PITRE,16.5,-62.2,33,8.3,9,5000,4,,,,,,4,,,,,5000,4,,,,,,4,,,,
1845,12,21,20,40,,,,*,BALKANS NW: SLOVENIA: LJUBLJANA,46.1,14.5,7,4.9,7,,,,,,,,2,,,,,,,,,,,,,,,,
1846,6,28,1,15,,,,*,PERU,-14,-76.8,50,7.9,6,,,,,,,,,,,,,,,,,,,,,,,,
1846,8,14,12,35,,Tsu,,*,"ITALY: ORCIANO, LUCIANA",43.4,10.6,5,6.1,10,56,2,,,,,,3,,,,,56,2,,,,,,3,,,,
1849,2,26,9,30,,,,*,VENEZUELA: TACHIRA (LOBATERA),7.3,-72.3,13,6,9,40,1,,,,,,2,,,,,,,,,,,,,,,,
1849,10,28,9,0,,Tsu,,*,RUSSIA: KOMANDORSKY ISLAND,55,166,20,7.5,10,,,,,,,,,,,,,,,,,,,,,,,,
1852,1,9,,,,Tsu,,*,INDONESIA: JAVA: DJAKARTA; SUMATRA: TELUKBETUNG,-6.5,105.5,150,6.5,8,,,,,,,,1,,,,1,,,,,,,,1,,,,1
1852,2,22,,,,,,*,IRAN: KHABUSHAN (NW KUCHAN),37.1,58.4,10,5.8,9,2000,4,,,,,,3,,,,,,,,,,,,,,,,
1852,11,25,22,40,,Tsu,,*,INDONESIA: MALUKU: BANDANAIRA,-5.25,129.75,100,8.3,9,,,,,,,,3,,3,,,60,2,,,,,,3,,3,,
1853,7,15,,,,Tsu,,*,VENEZUELA: CUMANA,10.5,-64.2,14,6.7,9,1000,3,,,,,,3,,3,,,1000,3,,,,,,3,,3,,
1858,1,22,,,,,,*,RUSSIA: KOMANDORSKY ISLAND,55,166,20,7.5,10,,,,,,,,,,,,,,,,,,,,,,,,
1859,6,11,13,,,,,*,AZERBAIJAN: SHEMAKHA (SEMACHA),40.7,48.5,10,5.9,9,100,2,,,,,,2,,,,,,,,,,,,,,,,
1861,2,16,,,,Tsu,,*,"INDONESIA: LAGUNDI, SIMUK, TELLO I",-1,97.5,70,8.5,9,,3,,,,,,2,,,,,1105,4,,,,,,,,,,
1862,1,12,7,19,,,,*,RUSSIA: LAKE BAYKAL,52.3,106.7,40,7.5,10,,,,,,,,,,,,,,,,,,,,,,,,
1867,2,4,3,,,,,*,GREECE: CEPHALONIA,38.4,20.2,100,7.9,10,200,3,,,,,,3,,,,,,,,,,,,,,,,
1867,11,18,18,45,,Tsu,,*,VIRGIN ISLANDS,18.1,-65.1,33,7.5,10,,,,,,,,3,,,,,24,1,,,,,,4,,,,
1868,4,3,21,15,,,,*,UZBEKISTAN: TASHKENT; KAZAKHSTAN: TURKESTAN,41.2,69.6,18,6.5,8,,,,,,,,3,,,,,,,,,,,,,,,,
1868,8,13,21,30,,Tsu,,*,CHILE: ARICA,-18.6,-71,25,8.5,11,25000,4,,,,,,4,,,,,25000,4,,,,,300,4,,,,
1868,8,16,6,30,,,,*,"ECUADOR: GUAYAQUIL,IBARRA; COLOMBIA: SAN PABLO",0.31,-78.18,20,7.7,10,70000,4,,,,,,4,,4,,,70000,4,,,,,,4,,4,,
1868,10,18,17,,,,,*,GEORGIA: SPASK,41.2,43.8,15,4.5,7,,,,,,,,2,,,,,,,,,,,,,,,,
1869,8,24,17,10,,Tsu,,*,"CHILE: IQUIQUE, PICA; PERU: TACNA",-19.6,-70.23,30,7.5,8,,,,,,,,1,,,,,,,,,,,,1,,,,
1869,10,11,11,10,,Tsu,,*,"UKRAINE: CRIMEA: SUDAK, FEODOSIA",44.75,35,18,5.6,8,,,,,,,,1,,1,,,,,,,,,,1,,1,,
